co2TailpipeGpm,cylinders,displ,drive,fuelType,make,phevBlended,transmission,VClass
522.764705882,8,4.9,Front-Wheel Drive,Premium,Cadillac,False,Aut,Large Cars
522.764705882,8,5.7,Rear-Wheel Drive,Regular,Cadillac,False,Aut,Large Cars
467.736842105,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Large Cars
740.583333333,8,5,Rear-Wheel Drive,Regular,Ford,False,Aut,Vans
493.722222222,8,5,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Large Cars
522.764705882,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Large Cars
423.190476190,6,3.3,Front-Wheel Drive,Regular,Chrysler,False,Aut,Large Cars
467.736842105,6,3.5,Front-Wheel Drive,Regular,Chrysler,False,Aut,Large Cars
444.35,6,3.3,Front-Wheel Drive,Regular,Chrysler,False,Aut,Large Cars
467.736842105,6,3.8,Front-Wheel Drive,Regular,Chrysler,False,Aut,Large Cars
423.190476190,6,3.3,Front-Wheel Drive,Regular,Dodge,False,Aut,Large Cars
467.736842105,6,3.5,Front-Wheel Drive,Regular,Dodge,False,Aut,Large Cars
423.190476190,6,3.3,Front-Wheel Drive,Regular,Eagle,False,Aut,Large Cars
467.736842105,6,3.5,Front-Wheel Drive,Regular,Eagle,False,Aut,Large Cars
807.909090909,8,5.8,Rear-Wheel Drive,Regular,Ford,False,Aut,Vans
467.736842105,8,4.6,Rear-Wheel Drive,Regular,Ford,False,Aut,Large Cars
493.722222222,6,3.8,Front-Wheel Drive,Regular,Lincoln,False,Aut,Large Cars
467.736842105,8,4.6,Rear-Wheel Drive,Regular,Mercury,False,Aut,Large Cars
467.736842105,8,4.6,Rear-Wheel Drive,Regular,Lincoln,False,Aut,Large Cars
535.789473684,6,3.5,Rear-Wheel Drive,Diesel,Mercedes-Benz,False,Aut,Large Cars
592.466666667,6,3.2,Rear-Wheel Drive,Premium,Mercedes-Benz,False,Aut,Large Cars
634.785714286,8,4.2,Rear-Wheel Drive,Premium,Mercedes-Benz,False,Aut,Large Cars
683.615384615,8,5,Rear-Wheel Drive,Premium,Mercedes-Benz,False,Aut,Large Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Large Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Large Cars
592.466666667,6,4.3,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
493.722222222,6,3.8,Front-Wheel Drive,Premium,Oldsmobile,False,Aut,Large Cars
493.722222222,6,3.8,Front-Wheel Drive,Premium,Pontiac,False,Aut,Large Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Pontiac,False,Aut,Large Cars
807.909090909,8,6.8,Rear-Wheel Drive,Premium,Rolls-Royce,False,Aut,Large Cars
493.722222222,4,2.3,Front-Wheel Drive,Regular,Saab,False,Aut,Large Cars
493.722222222,4,2.3,Front-Wheel Drive,Regular,Saab,False,Aut,Large Cars
467.736842105,4,2.3,Front-Wheel Drive,Regular,Saab,False,Man,Large Cars
444.35,4,2.3,Front-Wheel Drive,Regular,Saab,False,Man,Large Cars
493.722222222,6,2.8,4-Wheel or All-Wheel Drive,Premium,Audi,False,Aut,Small Station Wagons
467.736842105,6,2.5,Rear-Wheel Drive,Premium,BMW,False,Aut,Small Station Wagons
555.4375,6,4.3,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
386.391304348,4,2.2,Front-Wheel Drive,Regular,Chevrolet,False,Aut,Small Station Wagons
423.190476190,6,3.1,Front-Wheel Drive,Regular,Chevrolet,False,Aut,Small Station Wagons
592.466666667,6,3,Front-Wheel Drive,Premium,CX Automotive,False,Aut,Small Station Wagons
355.48,4,1.9,Front-Wheel Drive,Regular,Ford,False,Aut,Small Station Wagons
317.392857143,4,1.9,Front-Wheel Drive,Regular,Ford,False,Man,Small Station Wagons
423.190476190,4,2.2,Front-Wheel Drive,Regular,Honda,False,Aut,Small Station Wagons
403.954545455,4,2.2,Front-Wheel Drive,Regular,Honda,False,Man,Small Station Wagons
355.48,4,1.9,Front-Wheel Drive,Regular,Mercury,False,Aut,Small Station Wagons
317.392857143,4,1.9,Front-Wheel Drive,Regular,Mercury,False,Man,Small Station Wagons
341.807692308,4,1.9,Front-Wheel Drive,Regular,Saturn,False,Aut,Small Station Wagons
592.466666667,6,4.3,Rear-Wheel Drive,Regular,GMC,False,Man,Vans
370.291666667,4,1.9,Front-Wheel Drive,Regular,Saturn,False,Aut,Small Station Wagons
317.392857143,4,1.9,Front-Wheel Drive,Regular,Saturn,False,Man,Small Station Wagons
355.48,4,1.9,Front-Wheel Drive,Regular,Saturn,False,Man,Small Station Wagons
403.954545455,4,2.2,Front-Wheel Drive,Regular,Subaru,False,Aut,Small Station Wagons
386.391304348,4,2.2,Front-Wheel Drive,Regular,Subaru,False,Man,Small Station Wagons
423.190476190,4,2.2,4-Wheel or All-Wheel Drive,Regular,Subaru,False,Aut,Small Station Wagons
423.190476190,4,2.2,4-Wheel or All-Wheel Drive,Regular,Subaru,False,Man,Small Station Wagons
493.722222222,4,2.2,4-Wheel or All-Wheel Drive,Premium,Subaru,False,Aut,Small Station Wagons
403.954545455,4,1.8,Front-Wheel Drive,Regular,Subaru,False,Aut,Small Station Wagons
